STAK-consul-pvs___1.0-20260914.0422	golang.org/x/net	v0.13.0	CVE-2023-39325	true	consul-1.16.1-1.sl9^1
STAK-prometheus-alertmanager-pvs___1.0-20260914.0422	golang.org/x/net	v0.0.0-20210726213435-c6fcb2dbf985	CVE-2023-39325	true	golang-github-prometheus-alertmanager-0.23.0-6.sl9^1
STAK-prometheus-openstack-exporter-pvs___1.0-20260914.0422	golang.org/x/net	v0.10.0	CVE-2023-39325	true	prometheus-openstack-exporter-1.7.0-1.sl9^1
STAK-prometheus-alertmanager-pvs___1.0-20260914.0422	golang.org/x/net	v0.0.0-20210726213435-c6fcb2dbf985	CVE-2022-41723	true	golang-github-prometheus-alertmanager-0.23.0-6.sl9^1
STAK-prometheus-server-pvs___1.0-20260914.0422	golang.org/x/oauth2	v0.25.0	CVE-2025-22868	true	prometheus-server-3.2.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/oauth2	v0.6.0	CVE-2025-22868	true	consul-1.16.1-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/text	v0.26.0	CVE-2026-56852	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-prometheus-memcached-exporter-pvs___1.0-20260914.0422	golang.org/x/text	v0.31.0	CVE-2026-56852	true	prometheus-memcached-exporter-0.15.5-1.sl9^1
STAK-prometheus-openstack-exporter-pvs___1.0-20260914.0422	golang.org/x/text	v0.9.0	CVE-2026-56852	true	prometheus-openstack-exporter-1.7.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.55.0	GHSA-hrxh-6v49-42gf	true	consul-1.16.1-1.sl9^1
STAK-prometheus-server-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.70.0	CVE-2026-84445	true	prometheus-server-3.2.1-1.sl9^1
STAK-etcd-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.82.1	CVE-2026-84445	true	etcd-3.5.33-1.sl9^1^1
STAK-consul-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.55.0	CVE-2026-84445	true	consul-1.16.1-1.sl9^1
STAK-prometheus-blackbox-exporter-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.70.0	CVE-2026-84445	true	blackbox_exporter-0.26.0-2.sl9^2^1
STAK-kolla-toolbox-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.26.0	CVE-2026-84445	true	influxdb-1.8.10-1.sl9^1
STAK-prometheus-server-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.70.0	CVE-2026-84304	true	prometheus-server-3.2.1-1.sl9^1
STAK-etcd-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.82.1	CVE-2026-84304	true	etcd-3.5.33-1.sl9^1^1
STAK-consul-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.55.0	CVE-2026-84304	true	consul-1.16.1-1.sl9^1
STAK-prometheus-blackbox-exporter-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.70.0	CVE-2026-84304	true	blackbox_exporter-0.26.0-2.sl9^2^1
STAK-kolla-toolbox-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.26.0	CVE-2026-84304	true	influxdb-1.8.10-1.sl9^1
STAK-prometheus-server-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.70.0	CVE-2026-84303	true	prometheus-server-3.2.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.55.0	CVE-2026-84303	true	consul-1.16.1-1.sl9^1
STAK-kolla-toolbox-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.26.0	CVE-2026-84303	true	influxdb-1.8.10-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.55.0	CVE-2026-33186	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	google.golang.org/grpc	v1.55.0	CVE-2023-44487	true	consul-1.16.1-1.sl9^1
